SrNo,ADDRESS,CAUSE,TypeOfEnv,NoOfFiremen,NoOfVehicles,CallTime,ReachTime,ReturnTime,SecondCallReqd,SCRBoolean,EquipmentUsed,CASUALITY,CasualityBoolean,ACTION,ExtinguishedBy,ExtinguishedByBoolean,ExtinguishTime,ScaledExt,SeverityScore,CallTimeForClustering,ScaledClust,Cluster,Value,Severity
29,"thane belapur highway ,turbhe dumping ground",unknown,road,10,3,2019-03-28 04:45:00,2019-03-28 04:50:00,2019-03-28 07:23:00,Yes,1,"Water browser ,multipurpose water tender and sand",No,0,Extinguish ,Firemen,1,148,0.5675675675675675,19.84113526997822,285,4.75,2,11.261184882960611,high
31,"thane belapur rd, MIDC dumping ground,bk enterprise godowns",chemical drum caught fire,Office,6,1,2019-03-28 06:20:00,2019-03-28 06:25:00,2019-03-28 10:50:00,No,0,Water browser ,No,0,Extinguish ,Firemen,1,260,1.0,10.755568980847274,380,6.333333333333334,3,10.755568980847274,high
41,"Sion panvel rd, Vashi khadi Mumbai- Panvel Highway Rd",Car Engine's battery wiring S. C,Road,5,1,2019-03-28 17:52:00,2019-03-28 17:59:00,2019-03-28 20:52:00,No,0,Fire engine pump,No,0,Extinguish water ,Firemen,1,166,0.637065637065637,10.755568980847274,1072,17.866666666666667,2,6.852003404786872,high
17,"vashi kopar rd, sec14, vashi, new alaknanda soc",Unknown,residence,5,1,2019-03-28 03:55:00,2019-03-28 03:59:00,2019-03-28 06:30:00,No,0,water,No,0,extinguish,Firemen,1,147,0.5637065637065637,10.755568980847274,235,3.916666666666667,2,6.062984830902324,high
56,"Thane Belapur road,Sec 10,Police Station",Riots,Room,5,1,2019-03-28 18:30:00,2019-03-28 18:38:00,2019-03-28 20:30:00,No,0,Multi-Purpose fire extinguisher and water,No,0,Extinguisher,Firemen,1,104,0.39768339768339767,10.755568980847274,1110,18.5,2,4.277311216321502,high
